IDFEMP | DATEMS | NOTFIC | STAPRE
0096 | 20250616 | U02044479 | 101
0026 | 20250616 | U07127675 | 101
0004 | 20250617 | U11054688 | 101
0034 | 20250617 | U09044046 | 101
0101 | 20250617 | U02043205 | 101
0101 | 20250617 | U01048094 | 101
0080 | 20250617 | U04000758 | 101
0092 | 20250617 | U02033626 | 101
0018 | 20250617 | U07109624 | 101
0101 | 20250617 | U02043216 | 101
0002 | 20250617 | U01675737 | 101
0019 | 20250617 | U13128167 | 101
0098 | 20250617 | U02036520 | 101
0098 | 20250617 | U02036522 | 101
0115 | 20250617 | U02019578 | 101
0001 | 20250617 | U01214866 | 101
0026 | 20250617 | U07127686 | 101
0040 | 20250617 | U02022374 | 101
0005 | 20250618 | U01701982 | 101
0015 | 20250618 | U09042829 | 101
0029 | 20250618 | U14016856 | 101
0001 | 20250618 | U01215065 | 101
0018 | 20250618 | U07109645 | 101
0032 | 20250618 | U07126940 | 101
0019 | 20250618 | U14119678 | 101
0018 | 20250618 | U07109650 | 101
0093 | 20250618 | U02089318 | 101
0025 | 20250618 | U09014343 | 101
0029 | 20250618 | U14016873 | 101
0117 | 20250618 | U01013114 | 101
0117 | 20250618 | U01013119 | 101
0089 | 20250618 | U05116977 | 101
0056 | 20250618 | U05026268 | 101
0089 | 20250619 | U03126923 | 101
0096 | 20250619 | U03023524 | 101
0032 | 20250619 | U07126999 | 101
0001 | 20250619 | U01215442 | 101
0001 | 20250619 | U01215446 | 101
0022 | 20250619 | U02052783 | 101
0018 | 20250620 | U07109663 | 101
0029 | 20250620 | U08052235 | 101
0093 | 20250620 | U01066983 | 101
0005 | 20250620 | U01702090 | 101
0019 | 20250620 | U14119717 | 101
0003 | 20250620 | U10134929 | 101
0025 | 20250620 | U08032567 | 101
0018 | 20250620 | U07109675 | 101
0029 | 20250620 | U14016892 | 101
0032 | 20250620 | U07127034 | 101
0093 | 20250620 | U02089360 | 101
0032 | 20250620 | U01042592 | 101
0089 | 20250620 | U03126988 | 101
0093 | 20250620 | U02089366 | 101
0037 | 20250621 | U09082595 | 101
0004 | 20250621 | U12069814 | 101
0029 | 20250621 | U08052250 | 101
0089 | 20250621 | U03127007 | 101
0101 | 20250621 | U03044429 | 101
0096 | 20250621 | U03023540 | 101
0040 | 20250621 | U01027956 | 101
0034 | 20250621 | U09044089 | 101
0015 | 20250621 | U11049528 | 101
0032 | 20250621 | U08122218 | 101
0101 | 20250621 | U01048170 | 101
0025 | 20250621 | U08032589 | 101
0037 | 20250621 | U08092435 | 101
0040 | 20250621 | U02022401 | 101
0114 | 20250621 | U03020538 | 101
0114 | 20250622 | U03020544 | 101
0036 | 20250622 | U06015514 | 101
0019 | 20250622 | U14119770 | 101
0022 | 20250622 | U01042351 | 101
0040 | 20250622 | U02022410 | 101
